Show name,id,name,season,summary
The Golden Girls,63861,The Engagement,1,"<p>Senior Miami roommates Dorothy Zbornak (Beatrice Arthur), Rose Nylund (Betty White) and Blanche Devereaux (Rue McClanahan) are in for a shock when Blanche's boyfriend of one week, Harry, proposes marriage to her. Meanwhile, Dorothy's mother Sophia Petrillo (Estelle Getty) moves in with the girls after her retirement home burns down.</p>"
The Golden Girls,63862,Guess Who's Coming to the Wedding?,1,"<p>Dorothy's daughter Kate comes to Miami for a visit, and announces she's getting married. Dorothy is overjoyed at the news until she learns that Kate wants her father, Dorothy's ex-husband Stanley, to be present at the ceremony.</p>"
The Golden Girls,63863,Rose the Prude,1,"<p>Rose becomes nervous when her latest beau, Arnie, invites her to go on a cruise with him. The two will be sharing a stateroom, which would be the first time Rose has slept with a man since her husband Charlie's death several years prior. Meanwhile, Dorothy and Sophia face off in a gin rummy marathon.</p>"
The Golden Girls,63864,Transplant,1,"<p>Blanche's sister Virginia stops by for a visit, and tells Blanche some horrific news -- she's dying from renal failure, and needs Blanche's kidney to survive. Meanwhile, the girls babysit for a neighbor.</p>"
The Golden Girls,63865,The Triangle,1,"<p>Dorothy begins dating a doctor who Blanche also has an eye on. Unfortunately, the good doctor also has an eye on Blanche, and makes a pass at her.</p>"
The Golden Girls,63866,On Golden Girls,1,"<p>Blanche's troubled grandson David visits the household and causes a ruckus, partying at night with a rough crowd and interrupting the girls' lives. Meanwhile, Dorothy studies for her French final.</p>"
The Golden Girls,63867,The Competition,1,"<p>Blanche and Dorothy team up against Rose and Sophia in a bowling tournament. Meanwhile, an old flame of Sophia's visits from Sicily.</p>"
The Golden Girls,63868,Break-In,1,"<p>The girls come home from a Madonna concert to find the house has been broken into, which frightens Rose to such an extent that she buys a gun for protection.</p>"
The Golden Girls,63869,Blanche and the Younger Man,1,"<p>Rose's feisty mother comes for a visit and becomes fed up with how Rose treats her like a child. Meanwhile, Blanche begins dating her much younger aerobics instructor.</p>"
The Golden Girls,63870,Heart Attack,1,"<p>Sophia appears to suffer a heart attack after dinner one night. The paramedics are called, but the ambulance is stalled by downed trees and power lines that are the result of a tropical storm.</p>"
The Golden Girls,63871,The Return of Dorothy's Ex,1,"<p>Stanley shows up to settle a piece of land he and Dorothy had bought on their honeymoon. When the two meet up for lunch, he tells her his wife has left him. Meanwhile, she, Rose and Blanche figure out where to go on a vacation trip.</p>"
